TaskID     GiftID     GiftType      TaskType      RequestTime        TaskArrival     TT      Responsable
46             21          4              P           1671190456         1671190456         20              A
88             36          1              D           1671190472         1671190473         3              S
93             21          4              C           1671190456         1671190476         1              B
91             38          1              D           1671190474         1671190475         2              S
96             21          4              D           1671190456         1671190477         1              S
51             23          4              P           1671190458         1671190458         21              A
95             40          4              Q           1671190476         1671190476         3              S
99             23          4              C           1671190458         1671190479         1              B
98             41          4              Q           1671190477         1671190477         3              S
102             23          4              D           1671190458         1671190480         1              S
74             31          2              P           1671190467         1671190467         15              A
103             43          5              P           1671190480         1671190480         2              B
101             42          4              Q           1671190479         1671190479         3              S
107             31          2              C           1671190467         1671190482         1              A
104             43          5              Q           1671190480         1671190480         3              S
110             31          2              D           1671190467         1671190483         1              S
109             45          3              A           1671190482         1671190482         2              B
104             43          5              C           1671190480         1671190483         2              B
106             44          4              Q           1671190481         1671190481         4              S
78             33          2              P           1671190469         1671190469         17              A
112             45          3              C           1671190482         1671190484         2              B
114             43          5              D           1671190480         1671190485         1              S
113             47          1              C           1671190484         1671190484         3              A
117             45          3              D           1671190482         1671190486         1              S
115             48          1              C           1671190485         1671190485         2              B
116             33          2              C           1671190469         1671190486         2              A
119             47          1              D           1671190484         1671190487         1              S
111             46          3              A           1671190483         1671190483         6              B
120             48          1              D           1671190485         1671190487         2              S
122             33          2              D           1671190469         1671190488         2              S
124             46          3              C           1671190483         1671190489         1              B
83             35          2              P           1671190471         1671190471         20              A
126             46          3              D           1671190483         1671190490         1              S
128             35          2              C           1671190471         1671190491         1              A
118             49          3              A           1671190486         1671190486         6              B
130             54          5              Q           1671190491         1671190491         1              S
132             49          3              C           1671190486         1671190492         1              B
131             35          2              D           1671190471         1671190492         1              S
135             49          3              D           1671190486         1671190493         1              S
89             37          2              P           1671190473         1671190473         22              A
121             50          3              A           1671190487         1671190487         8              B
134             55          4              Q           1671190492         1671190492         3              S
136             56          1              C           1671190493         1671190493         3              A
138             37          2              C           1671190473         1671190495         1              B
139             50          3              C           1671190487         1671190495         2              A
141             56          1              D           1671190493         1671190496         1              S
140             58          1              C           1671190495         1671190495         2              B
142             37          2              D           1671190473         1671190496         2              S
143             59          1              C           1671190496         1671190496         2              A
144             50          3              D           1671190487         1671190497         2              S
123             51          3              A           1671190488         1671190488         11              B
145             58          1              D           1671190495         1671190497         3              S
149             51          3              C           1671190488         1671190499         1              B
92             39          2              P           1671190475         1671190475         26              A
147             59          1              D           1671190496         1671190498         3              S
150             62          1              C           1671190499         1671190499         2              B
153             39          2              C           1671190475         1671190501         1              A
151             51          3              D           1671190488         1671190500         2              S
154             62          1              D           1671190499         1671190501         2              S
127             53          3              A           1671190490         1671190490         13              B
156             39          2              D           1671190475         1671190502         2              S
157             65          1              C           1671190502         1671190502         2              B
94             40          4              P           1671190476         1671190476         29              A
160             66          5              Q           1671190503         1671190503         2              S
158             53          3              C           1671190490         1671190503         2              B
163             40          4              C           1671190476         1671190505         1              A
161             65          1              D           1671190502         1671190504         2              S
165             68          1              C           1671190505         1671190505         2              A
164             53          3              D           1671190490         1671190505         2              S
129             54          5              A           1671190491         1671190491         16              B
166             40          4              D           1671190476         1671190506         2              S
169             54          5              C           1671190491         1671190507         1              B
168             68          1              D           1671190505         1671190507         2              S
97             41          4              P           1671190477         1671190477         33              A
171             54          5              D           1671190491         1671190508         2              S
148             61          3              A           1671190498         1671190498         12              B
174             41          4              C           1671190477         1671190510         1              A
175             61          3              C           1671190498         1671190510         1              B
176             73          1              C           1671190510         1671190510         2              A
177             41          4              D           1671190477         1671190511         1              S
178             61          3              D           1671190498         1671190511         2              S
159             66          5              C           1671190503         1671190503         10              B
181             73          1              D           1671190510         1671190512         2              S
183             66          5              C           1671190503         1671190513         1              B
100             42          4              P           1671190479         1671190479         36              A
180             74          5              Q           1671190511         1671190511         4              S
184             76          1              C           1671190513         1671190513         2              B
187             42          4              C           1671190479         1671190515         1              A
185             66          5              D           1671190503         1671190514         2              S
188             76          1              D           1671190513         1671190515         2              S
162             67          3              A           1671190504         1671190504         13              B
190             42          4              D           1671190479         1671190516         2              S
191             79          1              C           1671190516         1671190516         2              B
105             44          4              P           1671190481         1671190481         38              A
194             80          4              Q           1671190517         1671190517         2              S
192             67          3              C           1671190504         1671190517         2              B
197             44          4              C           1671190481         1671190519         1              A
195             79          1              D           1671190516         1671190518         2              S
198             67          3              D           1671190504         1671190519         2              S
167             69          3              A           1671190506         1671190506         15              B
199             44          4              D           1671190481         1671190520         2              S
200             69          3              C           1671190506         1671190521         1              B
125             52          2              P           1671190489         1671190489         34              A
202             69          3              D           1671190506         1671190522         1              S
203             52          2              C           1671190489         1671190523         1              A
170             70          3              A           1671190507         1671190507         17              B
205             52          2              D           1671190489         1671190524         1              S
206             70          3              C           1671190507         1671190524         1              B
207             70          3              D           1671190507         1671190525         1              S
133             55          4              P           1671190492         1671190492         35              A
172             71          3              A           1671190508         1671190508         19              B
208             84          1              C           1671190525         1671190525         3              A
209             85          1              C           1671190526         1671190526         2              B
210             55          4              C           1671190492         1671190527         2              A
213             84          1              D           1671190525         1671190528         1              S
211             71          3              C           1671190508         1671190527         2              B
212             86          1              C           1671190527         1671190527         3              A
214             85          1              D           1671190526         1671190528         2              S
216             55          4              D           1671190492         1671190529         2              S
218             88          1              C           1671190529         1671190529         2              A
179             74          5              C           1671190511         1671190511         20              B
220             89          1              C           1671190530         1671190530         2              A
217             71          3              D           1671190508         1671190529         3              S
222             74          5              C           1671190511         1671190531         1              B
219             86          1              D           1671190527         1671190530         3              S
221             88          1              D           1671190529         1671190531         3              S
182             75          3              A           1671190512         1671190512         22              B
137             57          2              P           1671190494         1671190494         41              A
223             89          1              D           1671190530         1671190532         3              S
226             75          3              C           1671190512         1671190534         1              B
228             57          2              C           1671190494         1671190535         1              A
224             74          5              D           1671190511         1671190532         4              S
229             75          3              D           1671190512         1671190535         2              S
189             78          3              A           1671190515         1671190515         22              B
230             57          2              D           1671190494         1671190536         2              S
231             92          1              C           1671190536         1671190536         2              B
146             60          2              P           1671190497         1671190497         42              A
234             92          1              D           1671190536         1671190538         1              S
232             78          3              C           1671190515         1671190537         2              B
235             94          1              C           1671190538         1671190538         2              A
237             78          3              D           1671190515         1671190539         1              S
236             60          2              C           1671190497         1671190539         1              B
240             94          1              D           1671190538         1671190540         1              S
196             81          3              A           1671190518         1671190518         24              B
241             60          2              D           1671190497         1671190540         2              S
152             63          2              P           1671190500         1671190500         43              A
244             81          3              C           1671190518         1671190542         1              B
239             95          5              Q           1671190539         1671190539         4              S
245             98          1              C           1671190542         1671190542         2              A
246             63          2              C           1671190500         1671190543         1              B
247             81          3              D           1671190518         1671190543         1              S
248             99          1              C           1671190543         1671190543         2              A
249             98          1              D           1671190542         1671190544         1              S
201             82          3              A           1671190521         1671190521         25              B
250             63          2              D           1671190500         1671190544         2              S
253             82          3              C           1671190521         1671190546         1              B
252             99          1              D           1671190543         1671190545         2              S
155             64          2              P           1671190501         1671190501         47              A
255             82          3              D           1671190521         1671190547         1              S
257             64          2              C           1671190501         1671190548         1              A
215             87          3              A           1671190528         1671190528         21              B
259             64          2              D           1671190501         1671190549         1              S
258             103          1              C           1671190548         1671190548         2              A
260             87          3              C           1671190528         1671190549         1              B
261             104          1              C           1671190549         1671190549         2              A
262             103          1              D           1671190548         1671190550         1              S
263             87          3              D           1671190528         1671190550         2              S
227             91          3              A           1671190534         1671190534         18              B
264             104          1              D           1671190549         1671190551         2              S
265             105          1              C           1671190551         1671190551         2              B
173             72          2              P           1671190509         1671190509         45              A
